height,weight,label
163,51,normal
182,71,normal
186,88,fat
159,69,fat
153,39,thin
182,78,normal
160,52,normal
143,94,fat
167,54,normal
140,43,normal
188,48,thin
186,48,thin
156,96,fat
174,48,thin
159,54,normal
159,84,fat
182,75,normal
143,93,fat
175,58,normal
150,57,fat
141,61,fat
145,49,normal
160,65,fat
190,43,thin
151,77,fat
159,96,fat
184,73,normal
164,90,fat
169,66,normal
180,51,thin
175,87,fat
157,56,normal
161,74,fat
143,61,fat
170,47,thin
173,90,fat
149,91,fat
145,67,fat
144,79,fat
158,99,fat
155,36,thin
182,53,thin
149,85,fat
175,77,fat
149,99,fat
174,92,fat
178,38,thin
171,87,fat
175,69,normal
157,38,thin
153,77,fat
167,97,fat
168,56,normal
145,72,fat
140,89,fat
173,46,thin
159,46,thin
181,40,thin
152,90,fat
155,75,fat
188,54,thin
163,85,fat
155,69,fat
160,98,fat
176,95,fat
168,61,normal
182,69,normal
166,87,fat
150,83,fat
147,68,fat
143,70,fat
186,47,thin
176,39,thin
161,60,normal
141,48,normal
153,97,fat
161,84,fat
150,46,normal
171,66,normal
188,44,thin
147,99,fat
158,64,fat
162,57,normal
178,75,normal
149,36,thin
172,63,normal
177,37,thin
179,89,fat
190,52,thin
145,83,fat
176,78,fat
154,67,fat
176,65,normal
149,70,fat
170,66,normal
176,97,fat
176,74,normal
150,82,fat
185,35,thin
179,90,fat
174,41,thin
188,70,normal
173,82,fat
161,94,fat
165,39,thin
143,44,normal
160,87,fat
156,55,normal
153,66,fat
185,65,normal
171,45,thin
188,52,thin
170,37,thin
143,85,fat
169,99,fat
180,89,fat
158,94,fat
187,96,fat
162,53,normal
145,95,fat
156,77,fat
150,67,fat
172,98,fat
148,89,fat
166,67,normal
189,50,thin
173,60,normal
160,100,fat
161,80,fat
155,86,fat
190,68,normal
151,62,fat
188,55,thin
144,66,fat
177,49,thin
170,87,fat
155,93,fat
164,40,thin
175,53,thin
167,66,normal
156,99,fat
153,53,normal
175,81,fat
188,79,normal
186,35,thin
185,66,normal
185,39,thin
155,62,fat
188,49,thin
169,47,thin
174,76,fat
181,92,fat
189,56,thin
140,65,fat
165,56,normal
165,47,thin
149,100,fat
186,59,thin
178,81,fat
178,62,normal
156,89,fat
142,69,fat
190,59,thin
163,94,fat
154,93,fat
173,44,thin
178,70,normal
175,79,fat
185,37,thin
142,50,normal
149,64,fat
157,91,fat
162,79,fat
165,57,normal
146,77,fat
188,65,thin
183,99,fat
185,45,thin
157,39,thin
181,59,thin
163,54,normal
147,72,fat
175,42,thin
182,89,fat
188,78,normal
160,68,fat
161,92,fat
173,43,thin
178,66,normal
142,86,fat
181,75,normal
177,46,thin
153,79,fat
169,40,thin
189,84,normal
155,82,fat
163,56,normal
152,41,thin
186,79,normal
181,76,normal
161,77,fat
171,98,fat
171,61,normal
170,95,fat
152,63,fat
146,73,fat
172,82,fat
152,88,fat
143,82,fat
177,93,fat
173,75,fat
145,70,fat
185,86,fat
182,87,fat
185,51,thin
152,51,normal
152,87,fat
146,56,fat
153,87,fat
143,84,fat
159,58,normal
165,56,normal
186,54,thin
175,74,normal
178,93,fat
184,40,thin
176,85,fat
146,45,normal
143,78,fat
188,77,normal
186,96,fat
183,78,normal
160,91,fat
179,83,fat
178,54,thin
153,79,fat
155,36,thin
159,74,fat
187,89,fat
162,65,normal
181,84,fat
175,48,thin
183,52,thin
157,88,fat
148,42,normal
170,93,fat
185,86,fat
178,50,thin
149,60,fat
186,89,fat
188,52,thin
168,57,normal
148,77,fat
189,58,thin
165,92,fat
168,100,fat
182,54,thin
158,43,thin
188,77,normal
160,72,fat
175,44,thin
161,72,fat
190,55,thin
147,67,fat
172,61,normal
173,66,normal
189,97,fat
150,37,thin
167,89,fat
153,76,fat
151,97,fat
156,94,fat
163,62,normal
142,73,fat
169,40,thin
188,38,thin
152,60,fat
174,72,normal
176,47,thin
176,94,fat
159,91,fat
177,94,fat
162,49,normal
187,58,thin
179,62,normal
149,96,fat
140,94,fat
173,50,thin
172,73,normal
180,45,thin
167,66,normal
141,44,normal
151,58,fat
190,71,normal
147,38,thin
150,98,fat
140,56,fat
189,84,normal
186,38,thin
184,47,thin
161,43,thin
162,95,fat
184,82,normal
179,76,normal
146,60,fat
187,66,normal
144,36,thin
157,60,normal
156,79,fat
163,84,fat
143,76,fat
145,47,normal
149,55,normal
177,42,thin
182,83,fat
181,89,fat
177,82,fat
169,49,thin
177,39,thin
173,77,fat
187,54,thin
186,37,thin
156,69,fat
171,38,thin
178,38,thin
146,75,fat
180,35,thin
168,35,thin
140,36,thin
166,89,fat
147,59,fat
151,98,fat
153,79,fat
144,97,fat
169,81,fat
148,41,normal
156,35,thin
147,57,fat
172,96,fat
147,70,fat
141,90,fat
158,84,fat
186,97,fat
144,74,fat
156,49,normal
164,74,fat
154,74,fat
182,41,thin
163,39,thin
141,44,normal
170,52,thin
154,75,fat
181,51,thin
161,85,fat
179,81,fat
161,69,fat
188,85,normal
176,61,normal
165,98,fat
169,77,fat
141,49,normal
188,73,normal
165,67,normal
162,42,thin
186,54,thin
149,47,normal
158,35,thin
164,50,normal
159,96,fat
183,62,normal
142,67,fat
147,60,fat
158,67,fat
187,61,thin
143,65,fat
173,55,thin
156,73,fat
190,50,thin
158,91,fat
162,65,normal
146,64,fat
172,68,normal
185,84,normal
164,95,fat
186,74,normal
185,78,normal
174,44,thin
154,65,fat
157,77,fat
155,80,fat
141,58,fat
165,75,fat
184,46,thin
147,53,normal
155,59,normal
182,86,fat
184,58,thin
144,43,normal
156,51,normal
160,55,normal
152,45,normal
162,77,fat
151,41,thin
152,68,fat
176,75,normal
184,80,normal
150,54,normal
171,88,fat
155,54,normal
155,79,fat
180,95,fat
190,56,thin
142,54,fat
149,88,fat
180,37,thin
156,96,fat
152,61,fat
179,63,normal
183,86,fat
177,43,thin
147,84,fat
183,70,normal
164,64,normal
169,59,normal
148,37,thin
170,54,normal
145,58,fat
182,61,thin
144,60,fat
185,68,normal
178,49,thin
146,38,thin
145,68,fat
189,57,thin
167,44,thin
162,83,fat
186,78,normal
187,67,normal
167,100,fat
166,99,fat
159,94,fat
152,59,fat
